"id_estudiante";"plan_estudios";"sede";"codigo_postal";"localidad";"provincia";"pais";"sexo";"cohorte"
64405;508;"C.R. SAN MIGUEL";1686;"HURLINGHAM";"BUENOS AIRES";"ARGENTINA";"F";2001
64409;308;"C.R. SAN MIGUEL";1665;"JOSE C. PAZ";"BUENOS AIRES";"ARGENTINA";"M";2001
64412;308;"C.R. SAN MIGUEL";1665;"JOSE C. PAZ";"BUENOS AIRES";"ARGENTINA";"M";2001
64430;309;"C.R. SAN MIGUEL";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"M";2001
64433;508;"C.R. SAN MIGUEL";1107;"CAP. FEDERAL";"CAPITAL FEDERAL";"ARGENTINA";"M";2001
64435;309;"C.R. SAN MIGUEL";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2001
64436;508;"C.R. SAN MIGUEL";1613;"POLVORINES";"BUENOS AIRES";"ARGENTINA";"F";2001
64449;399;"C.R. SAN MIGUEL";1664;"MORENO";"BUENOS AIRES";"ARGENTINA";"M";2001
64462;308;"C.R. SAN MIGUEL";1663;"SAN MIGUEL";"BUENOS AIRES";"ARGENTINA";"F";2001
64475;508;"C.R. SAN MIGUEL";1661;"BELLA VISTA";"BUENOS AIRES";"ARGENTINA";"F";2001
64476;403;"C.R. SAN MIGUEL";1631;"VILLA ROSA";"BUENOS AIRES";"ARGENTINA";"F";2001
64478;309;"C.R. SAN MIGUEL";1665;"JOSE C. PAZ";"BUENOS AIRES";"ARGENTINA";"M";2001
64479;308;"C.R. SAN MIGUEL";1629;"PILAR";"BUENOS AIRES";"ARGENTINA";"F";2001
64490;308;"C.R. SAN MIGUEL";1665;"JOSE C. PAZ";"BUENOS AIRES";"ARGENTINA";"F";2001
64504;308;"C.R. SAN MIGUEL";1665;"JOSE C. PAZ";"BUENOS AIRES";"ARGENTINA";"F";2001
64506;308;"C.R. SAN MIGUEL";1663;"SAN MIGUEL";"BUENOS AIRES";"ARGENTINA";"M";2001
64507;308;"C.R. SAN MIGUEL";1665;"JOSE C. PAZ";"BUENOS AIRES";"ARGENTINA";"M";2001
64510;508;"C.R. SAN MIGUEL";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2001
64511;404;"C.R. SAN MIGUEL";1713;"ITUZAINGO";"BUENOS AIRES";"ARGENTINA";"F";2001
64513;509;"C.R. SAN MIGUEL";1661;"BELLA VISTA";"BUENOS AIRES";"ARGENTINA";"F";2001
64514;309;"C.R. SAN MIGUEL";1663;"SAN MIGUEL";"BUENOS AIRES";"ARGENTINA";"F";2001
