"especialidades","Buenos Aires/cantidad_medios","Entre Ríos/cantidad_medios","Capital Federal/cantidad_medios","Misiones/cantidad_medios","Río Negro/cantidad_medios","Santa Fe/cantidad_medios","Chaco/cantidad_medios","Salta/cantidad_medios","Córdoba/cantidad_medios","Catamarca/cantidad_medios","Mendoza/cantidad_medios","Tierra del Fuego/cantidad_medios","Corrientes/cantidad_medios","La Rioja/cantidad_medios","Chubut/cantidad_medios","Jujuy/cantidad_medios","Formosa/cantidad_medios","Neuquén/cantidad_medios","Santa Fe /cantidad_medios","La Pampa/cantidad_medios","San Juan/cantidad_medios","San Luis/cantidad_medios","Santa Cruz/cantidad_medios","Tucumán/cantidad_medios","Santiago del Estero/cantidad_medios","Rio Negro/cantidad_medios","La Rioja /cantidad_medios","La Pampa /cantidad_medios","Córdoba /cantidad_medios","Santa Fé/cantidad_medios","Santa/cantidad_medios","Santa fe/cantidad_medios","Sana Fe/cantidad_medios","Tucuman/cantidad_medios","Juuy/cantidad_medios"
"Interés general","1932.0","403.0","331.0","155.0","142.0","459.0","150.0","125.0","464.0","78.0","143.0","89.0","179.0","74.0","98.0","75.0","80.0","83.0","6.0","79.0","77.0","63.0","103.0","86.0","84.0","23.0","2.0","1.0","2.0","25.0","1.0","1.0","2.0","2.0","1.0"
"Salud","1.0","","35.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Economía","2.0","1.0","16.0","","","5.0","","","","","1.0","","1.0","","","","","","","","","","","","","","","","","","","","","",""
"Política","","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mujer","3.0","","31.0","","","","","","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Deportes","64.0","5.0","78.0","5.0","","11.0","2.0","1.0","6.0","3.0","3.0","3.0","4.0","1.0","1.0","","2.0","1.0","","2.0","1.0","1.0","","6.0","4.0","","","","","","","","","",""
"Educación","4.0","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Countries","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Judiciales","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ciencia / Salud","","","4.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
