"provincia","ciudad","Periódico/Interés general","Periódico/Deportes","Periódico/*","Periódico/Automóviles","Periódico/Agro","Periódico/Agropecuario","Revista/Interés general","Revista/Mujer","Revista/Deportes","Revista/Construcción","Revista/*","Revista/Decoración","Revista/Turismo","Revista/Cultura","Revista/Arte","Revista/Diexismo","Revista/Comunicación","Revista/Salud Ambiental","Revista/Empleos","Periodico/Interés general","Periodico/Agro","Suplementos/Interés general"
"Buenos Aires","San Martín","3.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","San Justo","5.0","","","","","","1.0","","","","","","","","","","","","","","",""
"Buenos Aires","Salto","4.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","La Plata","7.0","","","","","","1.0","","","","1.0","","","","1.0","","1.0","","","","","2.0"
"Buenos Aires","Escobar","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Pilar","11.0","","","","","","4.0","","","","","","","","","","","","","","",""
"Buenos Aires","Saladillo","3.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Tigre","5.0","1.0","","","","","2.0","","","","","","","","","","","","","","",""
"Buenos Aires","Bragado","5.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Ramallo","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Chivilcoy","6.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Don Torcuato","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Mercedes","10.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Luján","7.0","","","","1.0","","","","","","","","","","","","","","","","",""
"Buenos Aires","San Nicolás de los Arroyos","1.0","","","","","","","","1.0","","","","","","","","","","","","",""
"Buenos Aires","Rojas","5.0","","1.0","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Talar de Pacheco","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","25 de Mayo","3.0","","","","","","1.0","","","","","","","","","","","","","","",""
"Buenos Aires","General Pacheco ","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Lobos","6.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","San Antonio de Areco","5.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Navarro","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Baradero","5.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","San Miguel","3.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Chacabuco","6.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Zárate","4.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Derqui","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Marcos Paz","3.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Del Viso","2.0","","","","","","","","","","","","","1.0","","","","","","","",""
"Buenos Aires","Necochea","1.0","","","","","","","","","","1.0","","","","","","","","","","",""
"Buenos Aires","Mar del Plata","5.0","","","","","","2.0","","","","2.0","1.0","1.0","","","","","","","","",""
"Buenos Aires","Carmen de Areco","2.0","","","","","","2.0","","","","","","","","","","","","","","",""
"Buenos Aires","Quilmes","5.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Capitán Sarmiento","3.0","","","","","","1.0","","","","","","","","","","","","","","",""
"Buenos Aires","Roque Pérez","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Adrogué","1.0","1.0","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Alberti","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Arrecifes","6.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Avellaneda","3.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Azul","3.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Bahía Blanca","2.0","","1.0","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Balcarce","4.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Berazategui","3.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Bolívar","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Brandsen","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Campana","5.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Cañuelas","5.0","","1.0","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Carapachay","1.0","","","","","","","","","1.0","","","","","","","","","","","",""
"Buenos Aires","Carhué","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Cariló","","","","","","","1.0","","","","","","","","","","","","","","",""
"Buenos Aires","Carlos Tejedor","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Caseros","1.0","","","","","","1.0","","","","","","","1.0","","","","1.0","","","",""
"Buenos Aires","Castelar","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Castelli","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Chascomús","4.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Colón","6.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Coronel Dorrego","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Coronel Pringles","3.0","","","","","","","","","","","","","","","","","","","","1.0",""
"Buenos Aires","Coronel Suárez","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Daireaux","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Dolores","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Esteban Echeverría","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Florencio Varela","2.0","","","","","","","","","","","","","","","","","","","","",""
